,Name,LaptopID,RAM,HDD,SSD,Graphic,Link,15/10,O15/10
10,Dell Vostro Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Vostro 3491 Thin and Light Laptop,COMFTZ8FAZQUCSQK,4,0,256,0,https://www.flipkart.com/dell-vostro-core-i3-10th-gen-4-gb-256-gb-ssd-windows-10-home-3491-thin-light-laptop/p/itm1a23c30f7b3c9?pid=COMFTZ8FAZQUCSQK&lid=LSTCOMFTZ8FAZQUCSQK60SJUW&marketplace=FLIPKART&srno=b_1_18&otracker=browse&fm=organic&iid=e0086007-bfbc-4811-8fdc-c15a3a775028.COMFTZ8FAZQUCSQK.SEARCH&ssid=vhn4h6qoxc0000001602777461919,35990,5
11,MSI GF63 Thin Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650 w...,COMFUBTQE4FHYKBT,8,1,0,4,https://www.flipkart.com/msi-gf63-thin-core-i5-9th-gen-8-gb-1-tb-hdd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-max-q-9scxr-862in-gaming-laptop/p/itm9a83c29c77f54?pid=COMFUBTQE4FHYKBT&lid=LSTCOMFUBTQE4FHYKBTIVJ8NE&marketplace=FLIPKART&srno=b_1_19&otracker=browse&fm=organic&iid=e0086007-bfbc-4811-8fdc-c15a3a775028.COMFUBTQE4FHYKBT.SEARCH&ssid=vhn4h6qoxc0000001602777461919,64990,5
12,Dell Vostro Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 3491 Thin and Light Laptop,COMFTZ8YFXNGKEVD,8,1,0,0,https://www.flipkart.com/dell-vostro-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-3491-thin-light-laptop/p/itm1dbf313abc100?pid=COMFTZ8YFXNGKEVD&lid=LSTCOMFTZ8YFXNGKEVDNBXF54&marketplace=FLIPKART&srno=b_1_21&otracker=browse&fm=organic&iid=e0086007-bfbc-4811-8fdc-c15a3a775028.COMFTZ8YFXNGKEVD.SEARCH&ssid=vhn4h6qoxc0000001602777461919,36968,5
13,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,COMFQV98ZWHDFGZ7,8,1,256,2,https://www.flipkart.com/asus-vivobook-14-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-2-graphics-x412fj-ek513t-thin-light-laptop/p/itmc732a713de7e6?pid=COMFQV98ZWHDFGZ7&lid=LSTCOMFQV98ZWHDFGZ7O1IMVP&marketplace=FLIPKART&srno=b_1_22&otracker=browse&fm=organic&iid=e0086007-bfbc-4811-8fdc-c15a3a775028.COMFQV98ZWHDFGZ7.SEARCH&ssid=vhn4h6qoxc0000001602777461919,59990,5
14,HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du2071TU Thin and Light Laptop,COMFSFNVFHKMG4KJ,8,1,0,0,https://www.flipkart.com/hp-15s-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15s-du2071tu-thin-light-laptop/p/itm8c9edb3ed5fa8?pid=COMFSFNVFHKMG4KJ&lid=LSTCOMFSFNVFHKMG4KJDRMARW&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=e0086007-bfbc-4811-8fdc-c15a3a775028.COMFSFNVFHKMG4KJ.SEARCH&ssid=vhn4h6qoxc0000001602777461919,39100,5
15,Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A A1466,COMEVCPQBXBDFJ8C,8,0,128,0,https://www.flipkart.com/apple-macbook-air-core-i5-5th-gen-8-gb-128-gb-ssd-mac-os-sierra-mqd32hn-a-a1466/p/itmevcpqqhf6azn3?pid=COMEVCPQBXBDFJ8C&lid=LSTCOMEVCPQBXBDFJ8C4V6AHG&marketplace=FLIPKART&srno=b_2_25&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMEVCPQBXBDFJ8C.SEARCH&ssid=vnlw26zrm80000001602777463494,73490,5
16,MSI GF75 Thin Core i7 9th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforc...,COMFUR8XGGHCYGRS,16,1,256,4,https://www.flipkart.com/msi-gf75-thin-core-i7-9th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-9scsr-456in-gaming-laptop/p/itmf9dee2235c371?pid=COMFUR8XGGHCYGRS&lid=LSTCOMFUR8XGGHCYGRSRM7FNC&marketplace=FLIPKART&srno=b_2_26&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFUR8XGGHCYGRS.SEARCH&ssid=vnlw26zrm80000001602777463494,90990,5
17,HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15q-DS3001TU Laptop,COMFUR8XAAVKMDYT,8,1,0,0,https://www.flipkart.com/hp-15s-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15q-ds3001tu-laptop/p/itmca15395244b30?pid=COMFUR8XAAVKMDYT&lid=LSTCOMFUR8XAAVKMDYTHNMCDC&marketplace=FLIPKART&srno=b_2_27&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFUR8XAAVKMDYT.SEARCH&ssid=vnlw26zrm80000001602777463494,39788,5
18,HP 15s Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) 15s-fr1004tu Thin and Light Laptop,COMFRWT5MDPKAQWA,4,0,512,0,https://www.flipkart.com/hp-15s-core-i3-10th-gen-4-gb-512-gb-ssd-windows-10-home-15s-fr1004tu-thin-light-laptop/p/itmc424ec6e4ccc7?pid=COMFRWT5MDPKAQWA&lid=LSTCOMFRWT5MDPKAQWA419XFO&marketplace=FLIPKART&srno=b_2_29&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFRWT5MDPKAQWA.SEARCH&ssid=vnlw26zrm80000001602777463494,39990,5
19,Asus VivoBook 14 Ryzen 5 Quad Core 3500U 2nd Gen - (8 GB/512 GB SSD/Windows 10 Home) X412DA-EK502T Thi...,COMFMCSBXN5KBXAH,8,0,512,0,https://www.flipkart.com/asus-vivobook-14-ryzen-5-quad-core-3500u-2nd-gen-8-gb-512-gb-ssd-windows-10-home-x412da-ek502t-thin-light-laptop/p/itmf9773679d0d51?pid=COMFMCSBXN5KBXAH&lid=LSTCOMFMCSBXN5KBXAHHZCIAZ&marketplace=FLIPKART&srno=b_2_30&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFMCSBXN5KBXAH.SEARCH&ssid=vnlw26zrm80000001602777463494,54990,5
20,Lenovo Ideapad S540 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) S540-1...,COMFNXKSFGSDEUBP,8,1,256,2,https://www.flipkart.com/lenovo-ideapad-s540-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-2-graphics-s540-15iml-thin-light-laptop/p/itm92bf12d980f72?pid=COMFNXKSFGSDEUBP&lid=LSTCOMFNXKSFGSDEUBPKEHZC6&marketplace=FLIPKART&srno=b_2_31&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFNXKSFGSDEUBP.SEARCH&ssid=vnlw26zrm80000001602777463494,65990,5
21,HP 14s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s- DR1009TU Thin and Light Laptop,COMFUJ87USAYEBKE,8,0,512,0,https://www.flipkart.com/hp-14s-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-14s-dr1009tu-thin-light-laptop/p/itm04311467f1688?pid=COMFUJ87USAYEBKE&lid=LSTCOMFUJ87USAYEBKEYKLIZD&marketplace=FLIPKART&srno=b_2_33&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFUJ87USAYEBKE.SEARCH&ssid=vnlw26zrm80000001602777463494,54990,5
22,Asus VivoBook 15 Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) X543UA-DM342T Laptop,COMFZJWEHPTXGXZS,4,1,0,0,https://www.flipkart.com/asus-vivobook-15-core-i3-7th-gen-4-gb-1-tb-hdd-windows-10-home-x543ua-dm342t-laptop/p/itma5ff8b7bbe30b?pid=COMFZJWEHPTXGXZS&lid=LSTCOMFZJWEHPTXGXZSKDQLGI&marketplace=FLIPKART&srno=b_2_34&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFZJWEHPTXGXZS.SEARCH&ssid=vnlw26zrm80000001602777463494,31990,5
23,Asus VivoBook 15 Core i3 10th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X509JA-BQ845T Laptop,COMFUXREHECYJD98,4,1,256,0,https://www.flipkart.com/asus-vivobook-15-core-i3-10th-gen-4-gb-1-tb-hdd-256-gb-ssd-windows-10-home-x509ja-bq845t-laptop/p/itmf9f2c38299331?pid=COMFUXREHECYJD98&lid=LSTCOMFUXREHECYJD98SOCSKK&marketplace=FLIPKART&srno=b_2_35&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFUXREHECYJD98.SEARCH&ssid=vnlw26zrm80000001602777463494,40880,5
24,Dell Vostro Core i3 10th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Vostro 3491 Thin and Light L...,COMFTZ8FF5CCRJTC,4,1,256,0,https://www.flipkart.com/dell-vostro-core-i3-10th-gen-4-gb-1-tb-hdd-256-gb-ssd-windows-10-home-3491-thin-light-laptop/p/itmc535725c8e7af?pid=COMFTZ8FF5CCRJTC&lid=LSTCOMFTZ8FF5CCRJTC7JTSRI&marketplace=FLIPKART&srno=b_2_37&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFTZ8FF5CCRJTC.SEARCH&ssid=vnlw26zrm80000001602777463494,39990,5
25,MSI GF65 Thin Core i5 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce GTX 166...,COMFUBTQRM9KM5AA,16,0,512,6,https://www.flipkart.com/msi-gf65-thin-core-i5-9th-gen-16-gb-512-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-gtx-1660-ti-9sd-890in-gaming-laptop/p/itmc5bf7e1b67fc9?pid=COMFUBTQRM9KM5AA&lid=LSTCOMFUBTQRM9KM5AAMDQX8Q&marketplace=FLIPKART&srno=b_2_38&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFUBTQRM9KM5AA.SEARCH&ssid=vnlw26zrm80000001602777463494,89990,5
26,Avita Pura Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home in S Mode) NS14A6INV561-GPGYB Th...,COMFQGZERVKJPYZY,8,0,512,0,https://www.flipkart.com/avita-pura-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-10-home-s-mode-ns14a6inv561-gpgyb-thin-light-laptop/p/itm528e8cee3b794?pid=COMFQGZERVKJPYZY&lid=LSTCOMFQGZERVKJPYZYHJGHYX&marketplace=FLIPKART&srno=b_2_39&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFQGZERVKJPYZY.SEARCH&ssid=vnlw26zrm80000001602777463494,32990,0
27,Apple MacBook Air Core i3 10th Gen - (8 GB/256 GB SSD/Mac OS Catalina) MWTJ2HN/A,COMFQXEGSN6JPPTE,8,0,256,0,https://www.flipkart.com/apple-macbook-air-core-i3-10th-gen-8-gb-256-gb-ssd-mac-os-catalina-mwtj2hn-a/p/itm7955c0249a9b5?pid=COMFQXEGSN6JPPTE&lid=LSTCOMFQXEGSN6JPPTE77VFFX&marketplace=FLIPKART&srno=b_2_41&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFQXEGSN6JPPTE.SEARCH&ssid=vnlw26zrm80000001602777463494,92990,5
28,Dell Inspiron 3000 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) 3593 La...,COMFRFWTRERPYDSS,8,1,256,2,https://www.flipkart.com/dell-inspiron-3000-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-2-graphics-3593-laptop/p/itm5a4772e41f57b?pid=COMFRFWTRERPYDSS&lid=LSTCOMFRFWTRERPYDSS9AE964&marketplace=FLIPKART&srno=b_2_42&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFRFWTRERPYDSS.SEARCH&ssid=vnlw26zrm80000001602777463494,62979,5
29,HP 15s Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15s-du2069TU Thin and Light Laptop,COMFRH6ZPGVVVJP6,4,1,0,0,https://www.flipkart.com/hp-15s-core-i3-10th-gen-4-gb-1-tb-hdd-windows-10-home-15s-du2069tu-thin-light-laptop/p/itm67c0fd6ee3eaa?pid=COMFRH6ZPGVVVJP6&lid=LSTCOMFRH6ZPGVVVJP6WDYGWR&marketplace=FLIPKART&srno=b_2_43&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFRH6ZPGVVVJP6.SEARCH&ssid=vnlw26zrm80000001602777463494,38990,5
30,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X412FA-EK511T Thin and ...,COMFQV989Y54ZTGU,8,1,256,0,https://www.flipkart.com/asus-vivobook-14-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-x412fa-ek511t-thin-light-laptop/p/itm74ac67b13ef52?pid=COMFQV989Y54ZTGU&lid=LSTCOMFQV989Y54ZTGU0ZSDIS&marketplace=FLIPKART&srno=b_2_45&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFQV989Y54ZTGU.SEARCH&ssid=vnlw26zrm80000001602777463494,55990,5
31,Lenovo IdeaPad Gaming 3i Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,COMFSYCZJDGWSXNG,8,1,256,4,https://www.flipkart.com/lenovo-ideapad-gaming-3i-core-i7-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-15imh05-laptop/p/itm29e3115e6c239?pid=COMFSYCZJDGWSXNG&lid=LSTCOMFSYCZJDGWSXNGTMDJOC&marketplace=FLIPKART&srno=b_2_46&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFSYCZJDGWSXNG.SEARCH&ssid=vnlw26zrm80000001602777463494,78990,5
32,HP 14s Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s-cf3074TU Thin and Light Laptop,COMFU3NRNWRZZ7SZ,8,0,256,0,https://www.flipkart.com/hp-14s-core-i3-10th-gen-8-gb-256-gb-ssd-windows-10-home-14s-cf3074tu-thin-light-laptop/p/itm2d6c5477c8512?pid=COMFU3NRNWRZZ7SZ&lid=LSTCOMFU3NRNWRZZ7SZRF4PTK&marketplace=FLIPKART&srno=b_2_47&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFU3NRNWRZZ7SZ.SEARCH&ssid=vnlw26zrm80000001602777463494,42100,5
33,Asus VivoBook 15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) X509JA-BQ844T Laptop,COMFUXRE73QAZPFM,8,0,512,0,https://www.flipkart.com/asus-vivobook-15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-x509ja-bq844t-laptop/p/itm8b8cef6dc8250?pid=COMFUXRE73QAZPFM&lid=LSTCOMFUXRE73QAZPFMW7YIA1&marketplace=FLIPKART&srno=b_3_49&otracker=browse&fm=organic&iid=33c9055b-4d3e-4036-9889-2071bffac3c0.COMFUXRE73QAZPFM.SEARCH&ssid=obwscos8y80000001602777465079,55431,5
34,Asus ROG Strix G15 (2020) Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Ge...,COMFTWZDVMJPMHMB,16,0,512,4,https://www.flipkart.com/asus-rog-strix-g15-2020-core-i7-10th-gen-16-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-144-hz-g512li-hn057t-gaming-laptop/p/itm11f2963c300e2?pid=COMFTWZDVMJPMHMB&lid=LSTCOMFTWZDVMJPMHMBBL0UO3&marketplace=FLIPKART&srno=b_3_50&otracker=browse&fm=organic&iid=33c9055b-4d3e-4036-9889-2071bffac3c0.COMFTWZDVMJPMHMB.SEARCH&ssid=obwscos8y80000001602777465079,94990,5
35,Asus ROG Strix G15 (2020) Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Gefo...,COMFTWZDATH2NEM5,16,0,1,4,https://www.flipkart.com/asus-rog-strix-g15-2020-core-i7-10th-gen-16-gb-1-tb-ssd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-ti-144-hz-g512li-hn086t-gaming-laptop/p/itm7c8cf143808df?pid=COMFTWZDATH2NEM5&lid=LSTCOMFTWZDATH2NEM5YTT9NX&marketplace=FLIPKART&srno=b_3_51&otracker=browse&fm=organic&iid=33c9055b-4d3e-4036-9889-2071bffac3c0.COMFTWZDATH2NEM5.SEARCH&ssid=obwscos8y80000001602777465079,96990,5
36,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,COMFQV9843QQHXUG,8,1,256,2,https://www.flipkart.com/asus-vivobook-14-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-2-graphics-x412fj-ek512t-thin-light-laptop/p/itmbce63902e4f67?pid=COMFQV9843QQHXUG&lid=LSTCOMFQV9843QQHXUGXCVMDT&marketplace=FLIPKART&srno=b_3_53&otracker=browse&fm=organic&iid=33c9055b-4d3e-4036-9889-2071bffac3c0.COMFQV9843QQHXUG.SEARCH&ssid=obwscos8y80000001602777465079,59990,0
37,Asus ROG Strix G15 Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX...,COMFT8GXH89GATFZ,16,0,1,4,https://www.flipkart.com/asus-rog-strix-g15-core-i7-10th-gen-16-gb-1-tb-ssd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-ti-g512li-hn085t-gaming-laptop/p/itma045e09e44af6?pid=COMFT8GXH89GATFZ&lid=LSTCOMFT8GXH89GATFZTV0PA5&marketplace=FLIPKART&srno=b_3_54&otracker=browse&fm=organic&iid=33c9055b-4d3e-4036-9889-2071bffac3c0.COMFT8GXH89GATFZ.SEARCH&ssid=obwscos8y80000001602777465079,96990,5
38,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,COMFQV988HSYFK8H,8,1,256,2,https://www.flipkart.com/asus-vivobook-14-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-2-graphics-x412fj-ek511t-thin-light-laptop/p/itmb84b305d0c225?pid=COMFQV988HSYFK8H&lid=LSTCOMFQV988HSYFK8H3BWRZ4&marketplace=FLIPKART&srno=b_3_55&otracker=browse&fm=organic&iid=33c9055b-4d3e-4036-9889-2071bffac3c0.COMFQV988HSYFK8H.SEARCH&ssid=obwscos8y80000001602777465079,59990,5
39,HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du2002TU Thin and Light Laptop,COMFSFNWMYQ8PFF6,8,1,0,0,https://www.flipkart.com/hp-15s-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15s-du2002tu-thin-light-laptop/p/itm42e78d32538a0?pid=COMFSFNWMYQ8PFF6&lid=LSTCOMFSFNWMYQ8PFF6RNC3GC&marketplace=FLIPKART&srno=b_3_57&otracker=browse&fm=organic&iid=33c9055b-4d3e-4036-9889-2071bffac3c0.COMFSFNWMYQ8PFF6.SEARCH&ssid=obwscos8y80000001602777465079,46906,5
